Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C32, C33",0402,4,15p,
C10,0402,1,10n,
"C11, C12, C13, C15, C16, C3, C4, C5, C6, C7, C9",0402,11,47n,
C14,0402,1,220n,
"C17, C18, C19, C21, C34, C35, C36, C39, C40",0402,9,4.7u,
"C20, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31",0402,11,100n,
"C37, C38",0402,2,100nF,
"C41, C42",0805,2,10u,
C43,0402,1,1200p,
C44,0402,1,5p,
"C45, C46, C47, C48, C49",0402,5,220p,
C8,0402,1,1n8,
D1,0402,1,LED,
"D2, D3",0402,2,D,
D4,ESDS314BVR_SOT95P280X145-5N,1,ESDS314DBVR,
"DP1, DP2, DP3, DP4, DP5",Debug Pad,5,~,
IC1,QFN50P500X500X100-33N-D,1,CC1125RHBR,
IC2,BALFSPI202D3,1,BALF-SPI2-02D3,
"IC3, IC4",PE4259,2,4259-63,
J1,SMA_Amphenol_901-143_Horizontal,1,Conn_Coaxial,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
J3,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Top_Bottom,
J4,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,3.3u,
R1,0402,1,0,
"R10, R11, R8, R9",0402,4,10k,
"R12, R6, R7",0402,3,1k,
"R13, R14",0402,2,5.1k,
R2,0402,1,56k,
R3,0402,1,33,
"R4, R5",0402,2,27,
SW1,SW_SPST_PTS810,1,SW_Push,
U1,RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,1,RP2350A-QFN60,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,QFN-16_L3.0-W3.0-P0.50-TL-EP2.0,1,GSQ5110,C41410390
U4,DFN-6_L1.6-W1.6-P0.50-BL-EP1.0,1,SK5129,C5120312
U5,SOT-89-3,1,AMS1117s-3.3,
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,Crystal_GND24,
